ActionName,Category,ScoreImpact,CurrentScore,MaxScore,ImplementationStatus,UserImpact,Threats
Enable MFA for all users,Identity,10.00,10.00,10.00,completed,moderate,Account breach; Phishing
Block legacy authentication,Identity,7.50,7.50,7.50,completed,high,Password spray; Brute force
Enable self-service password reset,Identity,3.00,3.00,3.00,completed,low,Account lockout
Designate more than one global admin,Identity,2.00,2.00,2.00,completed,low,Single point of failure
Enable Conditional Access policies,Identity,9.00,9.00,9.00,completed,moderate,Unauthorized access
Turn on sign-in risk policy,Identity,5.00,0.00,5.00,planned,moderate,Compromised credentials
Require MFA for administrative roles,Identity,8.00,8.00,8.00,completed,moderate,Privilege escalation
Enable Safe Attachments policy,Data,4.50,4.50,4.50,completed,low,Malware
Enable Safe Links for Office apps,Data,4.00,4.00,4.00,completed,low,Phishing
Set automated notifications for new OAuth apps,Apps,3.00,0.00,3.00,notPlanned,low,OAuth consent phishing
Do not allow users to grant consent to unmanaged apps,Apps,5.00,0.00,5.00,planned,high,OAuth consent phishing
Use limited administrative roles,Identity,3.50,3.50,3.50,completed,moderate,Privilege escalation
Enable audit data recording,Data,2.00,2.00,2.00,completed,low,Forensic investigation
Turn on DKIM for all Exchange Online domains,Data,2.00,1.00,2.00,inProgress,low,Email spoofing
Enable Microsoft Defender for Office 365,Data,6.00,6.00,6.00,completed,low,Advanced threats
