Category,Setting,CurrentValue,RecommendedValue,Status,CisControl,Remediation
Admin Accounts,Global Administrator Count,2,2-4,Pass,1.1.3,"Entra admin center > Roles > Global Administrator. Maintain 2-4 global admins."
Application Consent,User Consent for Applications,Allow user consent for apps,Do not allow user consent,Fail,5.1.5.1,"Entra admin center > Enterprise applications > Consent and permissions > User consent settings > Do not allow user consent."
Directory Settings,Users Can Create Security Groups,True,False,Fail,5.1.3.2,"Entra admin center > Groups > General > Users can create security groups > No."
Directory Settings,Non-Admin Tenant Creation Restricted,False,False,Pass,5.1.2.3,"Entra admin center > Users > User settings > Restrict non-admin users from creating tenants > Yes."
Application Consent,Admin Consent Workflow Enabled,True,True,Pass,5.1.5.2,"Entra admin center > Enterprise applications > Admin consent requests > Users can request admin consent > Yes."
Password Management,Auth Method Registration Campaign,disabled,enabled,Fail,5.2.3.4,"Entra admin center > Protection > Authentication methods > Registration campaign > State > Enabled."
Password Management,Custom Banned Password List Enforced,True,True,Pass,5.2.3.2,"Entra admin center > Protection > Authentication methods > Password protection > Enforce custom list > Yes."
Password Management,Custom Banned Password Count,15,1+,Pass,5.2.3.2,"Entra admin center > Protection > Authentication methods > Password protection > Custom banned passwords list."
Password Management,Password Expiration: northwindtraders.com,Never expires,Never expires (with MFA),Pass,1.3.1,"M365 admin center > Settings > Org settings > Password expiration policy > Set passwords to never expire."
External Collaboration,Guest Invitation Policy,Anyone in the organization can invite,Admins and guest inviters only,Fail,5.1.6.3,"Entra admin center > External Identities > External collaboration settings > Guest invite settings."
External Collaboration,Guest User Access Restriction,Same as member users,Restricted access,Fail,5.1.6.2,"Entra admin center > External Identities > External collaboration settings > Guest user access > Most restrictive."
Conditional Access,CA Policy Blocks Legacy Authentication,Yes,Yes,Pass,5.2.2.3,"Entra admin center > Protection > Conditional Access > Block legacy auth policy."
