"ControlId","Title","AssessmentStatus","Section"
"1.2.1","Ensure that only organizationally managed/approved public groups exist","Automated","1.2"
"1.3.2","Ensure 'Idle session timeout'  is set to '3 hours (or less)' for unmanaged devices","Automated","1.3"
"1.3.3","Ensure 'External sharing' of calendars is not available","Automated","1.3"
"1.3.7","Ensure 'third-party storage services' are restricted in 'Microsoft 365 on the web'","Automated","1.3"
"1.3.8","Ensure that Sways cannot be shared with people outside of your organization","Manual","1.3"
"2.1.11","Ensure comprehensive attachment filtering is applied","Automated","2.1"
"4.1","Ensure devices without a compliance policy are marked 'not compliant'","Automated","4"
"4.2","Ensure device enrollment for personally owned devices is blocked by default","Automated","4"
"5.1.2.2","Ensure third party integrated applications are not allowed","Automated","5.1.2"
"5.1.2.5","Ensure the option to remain signed in is hidden","Manual","5.1.2"
"5.1.2.6","Ensure 'LinkedIn account connections' is disabled","Manual","5.1.2"
"5.1.4.1","Ensure the ability to join devices to Entra is restricted","Automated","5.1.4"
"5.1.4.6","Ensure users are restricted from recovering BitLocker keys","Automated","5.1.4"
"5.1.5.1","Ensure user consent to apps accessing company data on their behalf is not allowed","Automated","5.1.5"
"5.1.6.1","Ensure that collaboration invitations are sent to allowed domains only","Automated","5.1.6"
"5.1.6.3","Ensure guest user invitations are limited to the Guest Inviter role","Automated","5.1.6"
"5.2.2.5","Ensure 'Phishing-resistant MFA strength' is required for Administrators","Automated","5.2.2"
"5.2.3.7","Ensure the email OTP authentication method is disabled","Automated","5.2.3"
"6.3.1","Ensure users installing Outlook add-ins is not allowed","Automated","6.3"
"6.5.3","Ensure additional storage providers are restricted in Outlook on the web","Automated","6.5"
"6.5.5","Ensure Direct Send submissions are rejected","Automated","6.5"
"7.2.4","Ensure OneDrive content sharing is restricted","Automated","7.2"
"7.2.5","Ensure that SharePoint guest users cannot share items they don't own","Automated","7.2"
"7.2.6","Ensure SharePoint external sharing is restricted","Automated","7.2"
"7.2.8","Ensure external sharing is restricted by security group","Manual","7.2"
"7.3.2","Ensure OneDrive sync is restricted for unmanaged devices","Automated","7.3"
"8.1.1","Ensure external file sharing in Teams is enabled for only approved cloud storage services","Automated","8.1"
"8.2.1","Ensure external domains are restricted in the Teams admin center","Automated","8.2"
"8.5.1","Ensure anonymous users can't join a meeting","Automated","8.5"
"8.5.5","Ensure meeting chat does not allow anonymous users","Automated","8.5"
"8.5.6","Ensure only organizers and co-organizers can present","Automated","8.5"
"8.5.8","Ensure external meeting chat is off","Automated","8.5"
"8.5.9","Ensure meeting recording is off by default","Automated","8.5"
"9.1.5","Ensure 'Interact with and share R and Python' visuals is 'Disabled'","Automated","9.1"
