Category,Setting,CurrentValue,RecommendedValue,Status,CisControl,Remediation
Authentication,Modern Authentication Enabled,True,True,Pass,6.5.1,"Exchange admin center > Settings > Modern authentication > Enable."
Auditing,Org-Level Audit Enabled,True,Enabled,Pass,6.1.1,"Run: Set-OrganizationConfig -AuditDisabled $false."
Security,Customer Lockbox Enabled,False,True (E5 license),Warning,1.3.6,"M365 admin center > Settings > Org settings > Customer Lockbox > Require approval. Requires E5."
Mail Tips,All MailTips Enabled,True,True,Pass,6.5.2,"Run: Set-OrganizationConfig -MailTipsAllTipsEnabled $true"
Mail Tips,External Recipients Tips Enabled,True,True,Pass,6.5.2,"Run: Set-OrganizationConfig -MailTipsExternalRecipientsTipsEnabled $true"
Mail Tips,Group Metrics Enabled,True,True,Pass,6.5.2,"Run: Set-OrganizationConfig -MailTipsGroupMetricsEnabled $true"
Mail Tips,Large Audience Threshold,25,25 or less,Pass,6.5.2,"Run: Set-OrganizationConfig -MailTipsLargeAudienceThreshold 25"
Email Security,External Sender Tagging,True,True,Pass,6.2.3,"Run: Set-ExternalInOutlook -Enabled $true."
Email Security,Auto-Forward to External (Default Domain),False,False,Pass,6.2.1,"Run: Set-RemoteDomain -Identity Default -AutoForwardEnabled $false."
OWA Policy,OWA Additional Storage (OwaMailboxPolicy-Default),True,False,Fail,6.5.3,"Run: Set-OwaMailboxPolicy -Identity OwaMailboxPolicy-Default -AdditionalStorageProvidersAvailable $false"
Sharing,Default Calendar External Sharing,CalendarSharingFreeBusySimple,Restricted,Warning,1.3.3,"Exchange admin center > Organization > Sharing > Restrict to CalendarSharingFreeBusySimple."
Auditing,Mailboxes with Audit Bypass,0,0,Pass,6.1.3,"No mailboxes are bypassing audit logging."
Authentication,SMTP AUTH Disabled (Org-Wide),True,True,Pass,6.5.4,"Run: Set-TransportConfig -SmtpClientAuthenticationDisabled $true."
Applications,Outlook Add-ins Allowed (Default Role Assignment Policy),True,Restricted,Fail,6.3.1,"Remove MyMarketplaceApps and MyCustomApps roles from Default Role Assignment Policy."
