Category,Setting,CurrentValue,RecommendedValue,Status,CisControl,Remediation
Anti-Phishing,Phishing Threshold (Default),2 - Aggressive,2+ (Aggressive),Pass,2.1.7,"Security admin center > Anti-phishing > Set threshold to 2 or higher."
Anti-Phishing,Mailbox Intelligence Protection (Default),True,True,Pass,2.1.7,"Security admin center > Anti-phishing > Enable Mailbox intelligence protection."
Anti-Phishing,Targeted User Protection (Default),False,True,Fail,2.1.7,"Security admin center > Anti-phishing > Add users to protect."
Anti-Phishing,Targeted Domain Protection (Default),False,True,Fail,2.1.7,"Security admin center > Anti-phishing > Add domains to protect."
Anti-Phishing,Honor DMARC Policy (Default),True,True,Pass,2.1.7,"Security admin center > Anti-phishing > Enable Honor DMARC record policy."
Anti-Phishing,Spoof Intelligence (Default),True,True,Pass,2.1.7,"Security admin center > Anti-phishing > Enable spoof intelligence."
Anti-Phishing,First Contact Safety Tips (Default),False,True,Fail,2.1.7,"Security admin center > Anti-phishing > Enable first contact safety tips."
Anti-Spam,Bulk Complaint Level Threshold (Default),7,6 or lower,Fail,2.1.6,"Security admin center > Anti-spam > Set bulk threshold to 6 or lower."
Anti-Spam,Spam Action (Default),MoveToJmf,MoveToJmf or Quarantine,Pass,2.1.6,"Security admin center > Anti-spam > Spam action > Move to Junk or Quarantine."
Anti-Spam,High Confidence Spam Action (Default),Quarantine,Quarantine,Pass,2.1.6,"Security admin center > Anti-spam > High confidence spam > Quarantine."
Anti-Spam,High Confidence Phish Action (Default),Quarantine,Quarantine,Pass,2.1.6,"Security admin center > Anti-spam > High confidence phishing > Quarantine."
Anti-Spam,Phishing Action (Default),Quarantine,Quarantine,Pass,2.1.6,"Security admin center > Anti-spam > Phishing action > Quarantine."
Anti-Spam,Zero-Hour Auto Purge (Default),True,True,Pass,2.1.6,"Security admin center > Anti-spam > ZAP > Enabled."
Anti-Spam,Spam ZAP (Default),True,True,Pass,2.1.6,"Security admin center > Anti-spam > Spam ZAP > Enabled."
Anti-Spam,Phishing ZAP (Default),True,True,Pass,2.1.6,"Security admin center > Anti-spam > Phishing ZAP > Enabled."
Anti-Malware,Common Attachment Filter (Default),True,True,Pass,2.1.2,"Security admin center > Anti-malware > Enable common attachments filter."
Anti-Malware,Malware ZAP (Default),True,True,Pass,2.1.2,"Security admin center > Anti-malware > ZAP > Enabled."
Anti-Malware,Internal Sender Admin Notifications (Default),True,True,Pass,2.1.3,"Security admin center > Anti-malware > Notify admin about internal sender malware."
Safe Links,Real-time URL Scanning (Built-In Protection),True,True,Pass,2.1.1,"Security admin center > Safe Links > Enable real-time URL scanning."
Safe Links,Track User Clicks (Built-In Protection),True,True,Pass,2.1.1,"Security admin center > Safe Links > Ensure click tracking is enabled."
Safe Links,Enable for Internal Senders (Built-In Protection),True,True,Pass,2.1.1,"Security admin center > Safe Links > Enable for internal senders."
Safe Links,Wait for URL Scan (Built-In Protection),True,True,Pass,2.1.1,"Security admin center > Safe Links > Wait for URL scanning."
Safe Attachments,Policy Enabled (Built-In Protection),True,True,Pass,2.1.4,"Security admin center > Safe Attachments > Enable the policy."
Safe Attachments,Action (Built-In Protection),Block,Block or Dynamic Delivery,Pass,2.1.4,"Security admin center > Safe Attachments > Action > Block."
Safe Attachments,Redirect to Admin (Built-In Protection),True,True,Pass,2.1.4,"Security admin center > Safe Attachments > Enable redirect to admin."
Outbound Spam,Auto-Forwarding Mode (Default),Off,Off,Pass,6.2.1,"Security admin center > Anti-spam > Outbound > Auto-forwarding > Off."
Outbound Spam,BCC on Suspicious Outbound (Default),True,True,Pass,2.1.15,"Security admin center > Anti-spam > Outbound > BCC suspicious outbound."
Outbound Spam,Notify Admins of Outbound Spam (Default),True,True,Pass,2.1.15,"Security admin center > Anti-spam > Outbound > Notify admin."
